school_name,dbn,num_testtakers,num_offered,pct_8th_graders_offered,pct_black_hispanic,SED Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Grade Low,Grade High,Community School?,Economic Need Index,School Income Estimate,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent Black / Hispanic,Percent White,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency
P.S. 304 EARLY CHILDHOOD SCHOOL,08X304,,,,,320800010304.0,8.0,40.827214,-73.829212,"2750 LAFAYETTE AVE BRONX, NY 10465",BRONX,10465.0,"PK,0K,01,02,03,04,05",PK,05,No,0.38799999999999996,"$67,098.68 ",1%,7%,5%,59%,64%,27%,95%,13%,90%,Meeting Target,94%,Meeting Target,96%,Exceeding Target,86%,Exceeding Target,90%,Meeting Target,98%,Exceeding Target,Exceeding Target,2.94,3.1
P.S. 333 - THE MUSEUM SCHOOL,08X333,,,,,320800010333.0,8.0,40.820082,-73.898647,"888 REV J A POLITE AVE BRONX, NY 10459",BRONX,10459.0,"PK,0K,01,02,03",PK,03,No,0.915,"$26,448.84 ",24%,0%,20%,77%,97%,2%,89%,46%,89%,Approaching Target,80%,Approaching Target,91%,Approaching Target,62%,Not Meeting Target,78%,Approaching Target,85%,Approaching Target,Meeting Target,2.22,2.21
THE ACADEMY OF THE ARTS,08X335,,,,,320800010335.0,8.0,40.820082,-73.898647,"888 REV J A POLITE AVE BRONX, NY 10459",BRONX,10459.0,"04,05",04,05,No,0.8909999999999999,"$25,876.53 ",18%,1%,30%,67%,96%,1%,92%,34%,95%,Meeting Target,96%,Meeting Target,97%,Meeting Target,95%,Exceeding Target,86%,Meeting Target,98%,Exceeding Target,Meeting Target,2.27,2.54
P.S. 011 HIGHBRIDGE,09X011,,,,,320900010011.0,9.0,40.839729999999996,-73.925913,"1257 OGDEN AVE BRONX, NY 10452",BRONX,10452.0,"0K,01,02,03,04",0K,04,No,0.9229999999999999,"$26,475.48 ",25%,0%,30%,69%,99%,0%,92%,33%,95%,Exceeding Target,94%,Meeting Target,92%,Meeting Target,83%,Meeting Target,84%,Meeting Target,93%,Meeting Target,Approaching Target,2.31,2.32
P.S. 028 MOUNT HOPE,09X028,,,,,320900010028.0,9.0,40.848338,-73.903702,"1861 ANTHONY AVE BRONX, NY 10457",BRONX,10457.0,"PK,0K,01,02,03,04,05",PK,05,No,0.922,"$25,532.54 ",32%,1%,18%,81%,98%,1%,91%,33%,90%,Meeting Target,80%,Approaching Target,89%,Meeting Target,50%,Not Meeting Target,93%,Meeting Target,62%,Not Meeting Target,Exceeding Target,2.28,2.47
P.S. 035 FRANZ SIEGEL,09X035,,,,,320900010035.0,9.0,40.82761,-73.91809,"261 E 163RD ST BRONX, NY 10451",BRONX,10451.0,"0K,01,02,03,04,05",0K,05,No,0.8340000000000001,"$27,766.12 ",25%,1%,29%,68%,97%,1%,93%,23%,89%,Approaching Target,87%,Exceeding Target,86%,Meeting Target,76%,Approaching Target,81%,Approaching Target,92%,Meeting Target,Meeting Target,2.28,2.48
P.S. 042 CLAREMONT,09X042,,,,,320900010042.0,9.0,40.838559000000004,-73.903026,"1537 WASHINGTON AVE BRONX, NY 10456",BRONX,10456.0,"PK,0K,01,02,03,04,05",PK,05,Yes,0.935,"$24,249.23 ",16%,0%,41%,56%,97%,2%,90%,37%,88%,Approaching Target,91%,Exceeding Target,86%,Approaching Target,88%,Exceeding Target,90%,Meeting Target,93%,Meeting Target,Meeting Target,2.18,2.25
P.S. 053 BASHEER QUISIM,09X053,,,,,320900010053.0,9.0,40.832774,-73.911831,"360 E 168TH ST BRONX, NY 10456",BRONX,10456.0,"PK,0K,01,02,03,04,05",PK,05,No,0.919,"$23,994.98 ",25%,1%,33%,64%,97%,2%,90%,42%,91%,Meeting Target,88%,Meeting Target,92%,Approaching Target,81%,Meeting Target,80%,Approaching Target,88%,Approaching Target,Exceeding Target,2.42,2.63
P.S. 055 BENJAMIN FRANKLIN,09X055,,,,,320900010055.0,9.0,40.835972999999996,-73.904838,"450 ST PAUL'S PL BRONX, NY 10456",BRONX,10456.0,"PK,0K,01,02,03,04,05",PK,05,Yes,0.9390000000000001,"$19,445.65 ",11%,0%,47%,52%,99%,0%,92%,28%,86%,Approaching Target,78%,Approaching Target,83%,Approaching Target,74%,Approaching Target,81%,Approaching Target,90%,Meeting Target,Approaching Target,2.04,2.15
P.S. 058,09X058,,,,,320900010058.0,9.0,40.846275,-73.898878,"459 E 176TH ST BRONX, NY 10457",BRONX,10457.0,"0K,01,02,03,04,05,06",0K,06,No,0.91,"$25,416.20 ",20%,0%,26%,71%,97%,1%,90%,43%,87%,Approaching Target,79%,Approaching Target,86%,Approaching Target,69%,Not Meeting Target,79%,Not Meeting Target,80%,Not Meeting Target,Meeting Target,2.17,2.32
P.S. 063 AUTHOR'S ACADEMY,09X063,,,,,320900010063.0,9.0,40.830895,-73.90238599999999,"1260 FRANKLIN AVE BRONX, NY 10456",BRONX,10456.0,"PK,0K,01,02,03,04,05",PK,05,No,0.89,"$25,772.81 ",19%,0%,36%,61%,97%,3%,90%,39%,96%,Exceeding Target,94%,Exceeding Target,94%,Meeting Target,88%,Exceeding Target,86%,Meeting Target,95%,Exceeding Target,Exceeding Target,2.55,2.65
P.S. 070 MAX SCHOENFELD,09X070,,,,,320900010070.0,9.0,40.844394,-73.908023,"1691 WEEKS AVE BRONX, NY 10457",BRONX,10457.0,"0K,01,02,03,04,05",0K,05,No,0.9159999999999999,"$28,190.58 ",25%,1%,25%,74%,98%,1%,91%,37%,88%,Meeting Target,87%,Meeting Target,84%,Approaching Target,82%,Meeting Target,82%,Approaching Target,90%,Meeting Target,Approaching Target,2.1,2.26
P.S. 073 BRONX,09X073,,,,,320900010073.0,9.0,40.83262,-73.926485,"1020 ANDERSON AVE BRONX, NY 10452",BRONX,10452.0,"PK,0K,01,02,03,04,05",PK,05,No,0.8909999999999999,"$22,580.13 ",22%,0%,25%,74%,99%,1%,90%,41%,85%,Approaching Target,82%,Approaching Target,82%,Approaching Target,68%,Approaching Target,83%,Approaching Target,83%,Approaching Target,Approaching Target,2.07,2.1
P.S. X088 - S. SILVERSTEIN LITTLE SPARROW SCHOOL,09X088,,,,,320900010088.0,9.0,40.83702,-73.913549,"1340 SHERIDAN AVE BRONX, NY 10456",BRONX,10456.0,"0K,01,02,03",0K,03,No,0.87,"$22,255.01 ",15%,1%,31%,68%,98%,0%,94%,17%,95%,,89%,,95%,,78%,,78%,,95%,,,,
P.S. 109 SEDGWICK,09X109,,,,,320900010109.0,9.0,40.851637,-73.918772,"1771 POPHAM AVE BRONX, NY 10453",BRONX,10453.0,"PK,0K,01,02,03,04,05",PK,05,No,0.8740000000000001,"$26,397.05 ",25%,0%,20%,80%,99%,1%,91%,32%,79%,Approaching Target,69%,Approaching Target,73%,Approaching Target,57%,Not Meeting Target,79%,Approaching Target,77%,Approaching Target,Approaching Target,2.19,2.17
P.S. 110 THEODORE SCHOENFELD,09X110,,,,,320900010110.0,9.0,40.834973,-73.900304,"580 CROTONA PARK S BRONX, NY 10456",BRONX,10456.0,"PK,0K,01,02,03,04,05",PK,05,No,0.91,"$21,689.93 ",12%,0%,42%,52%,95%,5%,93%,25%,83%,Meeting Target,83%,Meeting Target,82%,Meeting Target,68%,Approaching Target,82%,Approaching Target,86%,Approaching Target,Meeting Target,2.33,2.4
P.S. X114 - LUIS LLORENS TORRES SCHOOLS,09X114,,,,,320900010114.0,9.0,40.835007,-73.92334699999999,"1155 CROMWELL AVE BRONX, NY 10452",BRONX,10452.0,"0K,01,02,03,04",0K,04,No,0.904,"$26,823.06 ",33%,4%,22%,71%,93%,2%,92%,31%,95%,Meeting Target,93%,Meeting Target,95%,Meeting Target,86%,Meeting Target,83%,Approaching Target,93%,Meeting Target,Approaching Target,2.07,2.19
P.S. 126 DR MARJORIE H DUNBAR,09X126,,,,,320900010126.0,9.0,40.836201,-73.92834599999999,"175 W 166TH ST BRONX, NY 10452",BRONX,10452.0,"PK,0K,01,02,03,04,05,06",PK,06,No,0.91,"$22,701.33 ",22%,1%,26%,71%,97%,2%,91%,36%,89%,Approaching Target,79%,Approaching Target,85%,Meeting Target,70%,Approaching Target,79%,Not Meeting Target,79%,Approaching Target,Approaching Target,2.27,2.17
P.S. 132 GARRET A. MORGAN,09X132,,,,,320900010132.0,9.0,40.832081,-73.906951,"1245 WASHINGTON AVE BRONX, NY 10456",BRONX,10456.0,"PK,0K,01,02,03,04,05",PK,05,No,0.9279999999999999,"$22,702.97 ",13%,0%,44%,54%,98%,0%,89%,44%,95%,Meeting Target,76%,Approaching Target,71%,Approaching Target,60%,Not Meeting Target,75%,Not Meeting Target,74%,Not Meeting Target,Approaching Target,2.07,2.18
J.H.S. 145 ARTURO TOSCANINI,09X145,,,,,320900010145.0,9.0,40.827748,-73.91377299999999,"1000 TELLER AVE BRONX, NY 10456",BRONX,10456.0,"05,06,07,08",05,08,Yes,0.888,,43%,1%,29%,69%,98%,0%,89%,43%,86%,Approaching Target,81%,Approaching Target,89%,Approaching Target,72%,Approaching Target,79%,Meeting Target,86%,Approaching Target,Approaching Target,2.09,1.98
P.S. 163 ARTHUR A. SCHOMBURG,09X163,,,,,320900010163.0,9.0,40.851773,-73.898794,"2075 WEBSTER AVE BRONX, NY 10457",BRONX,10457.0,"0K,01,02,03,04,05",0K,05,No,0.9279999999999999,"$25,534.74 ",32%,1%,37%,60%,97%,1%,93%,26%,77%,Approaching Target,55%,Approaching Target,69%,Approaching Target,48%,Not Meeting Target,78%,Approaching Target,67%,Not Meeting Target,Meeting Target,2.3,2.42
P.S. 199X - THE SHAKESPEARE SCHOOL,09X199,,,,,320900010199.0,9.0,40.843553,-73.920665,"1449 SHAKESPEARE AVE BRONX, NY 10452",BRONX,10452.0,"PK,0K,01,02,03,04,05",PK,05,No,0.9009999999999999,"$26,634.37 ",29%,0%,30%,67%,97%,1%,91%,34%,87%,Approaching Target,79%,Approaching Target,87%,Approaching Target,69%,Approaching Target,82%,Approaching Target,82%,Approaching Target,Approaching Target,2.21,2.31
P.S. 204 MORRIS HEIGHTS,09X204,,,,,320900010204.0,9.0,40.849995,-73.915226,"1780 DR M L KING JR BLVD BRONX, NY 10453",BRONX,10453.0,"0K,01,02,03,04,05",0K,05,No,0.865,"$21,870.00 ",10%,1%,29%,67%,96%,2%,94%,18%,89%,Meeting Target,95%,Exceeding Target,92%,Meeting Target,89%,Exceeding Target,87%,Meeting Target,98%,Exceeding Target,Exceeding Target,2.46,2.65
P.S. 236 LANGSTON HUGHES,09X236,,,,,320900010236.0,9.0,40.848826,-73.909699,"1871 WALTON AVE BRONX, NY 10453",BRONX,10453.0,"PK,0K,01,02,03,04,05",PK,05,No,0.882,"$26,958.39 ",12%,0%,29%,68%,98%,2%,93%,20%,93%,Meeting Target,93%,Meeting Target,92%,Exceeding Target,85%,Meeting Target,87%,Meeting Target,93%,Meeting Target,Approaching Target,2.19,2.28
THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK,09X274,,,,,320900010274.0,9.0,40.841563,-73.929604,"275 HARLEM RIVER PARK BRIDGE BRONX, NY 10453",BRONX,10453.0,"PK,0K,01,03,04,05",PK,05,No,0.934,"$20,772.06 ",17%,0%,39%,59%,98%,1%,88%,53%,92%,,95%,,96%,,95%,,87%,,96%,,,,
THE WALTON AVENUE SCHOOL,09X294,,,,,320900010294.0,9.0,40.840365999999996,-73.915716,"1425 WALTON AVE BRONX, NY 10452",BRONX,10452.0,"0K,01,02,03,04,05",0K,05,No,0.9159999999999999,"$25,806.36 ",28%,1%,22%,73%,95%,3%,92%,30%,96%,,95%,,96%,,94%,,87%,,94%,,,,
LUCERO ELEMENTARY SCHOOL,09X311,,,,,320900010311.0,9.0,40.840365999999996,-73.915716,"1425 WALTON AVE BRONX, NY 10452",BRONX,10452.0,"0K,01,02,03,04,05",0K,05,No,0.929,"$25,044.32 ",54%,1%,10%,87%,97%,1%,91%,33%,98%,,97%,,98%,,93%,,86%,,97%,,,,
NEW DIRECTIONS SECONDARY SCHOOL,09X350,,,,,320900011350.0,9.0,40.839653999999996,-73.911386,"240 E 172ND ST BRONX, NY 10457",BRONX,10457.0,"06,07,08,09,10,11,12",06,12,No,0.92,,34%,0%,30%,67%,98%,0%,66%,74%,66%,Approaching Target,71%,Not Meeting Target,93%,Meeting Target,67%,Approaching Target,78%,Meeting Target,89%,Meeting Target,Approaching Target,1.9,1.91
THE FAMILY SCHOOL,09X443,,,,,320900010443.0,9.0,40.832033,-73.917519,"1116 SHERIDAN AVE BRONX, NY 10456",BRONX,10456.0,"0K,01,02,03,04,05",0K,05,No,0.898,"$27,970.30 ",32%,4%,28%,66%,94%,1%,92%,31%,95%,Meeting Target,93%,Meeting Target,90%,Meeting Target,82%,Meeting Target,83%,Meeting Target,94%,Meeting Target,Meeting Target,2.24,2.22
GRANT AVENUE ELEMENTARY SCHOOL,09X449,,,,,320900010449.0,9.0,40.828111,-73.917661,"250 E 164TH ST BRONX, NY 10456",BRONX,10456.0,"0K,01,02,03,04,05",0K,05,No,0.8759999999999999,"$26,370.44 ",22%,5%,30%,62%,92%,1%,93%,24%,93%,Meeting Target,90%,Exceeding Target,88%,Meeting Target,89%,Exceeding Target,90%,Exceeding Target,94%,Exceeding Target,Approaching Target,2.1,2.22
SHERIDAN ACADEMY FOR YOUNG LEADERS,09X457,,,,,320900010457.0,9.0,40.832033,-73.917519,"1116 SHERIDAN AVE BRONX, NY 10456",BRONX,10456.0,"0K,01,02,03,04,05",0K,05,No,0.909,"$30,300.35 ",19%,1%,30%,67%,97%,1%,91%,38%,90%,Meeting Target,92%,Meeting Target,84%,Meeting Target,81%,Meeting Target,87%,Meeting Target,92%,Meeting Target,Meeting Target,2.14,2.35
MOUNT EDEN CHILDREN'S ACADEMY,09X555,,,,,320900010555.0,9.0,40.842811,-73.916384,"1501 JEROME AVE BRONX, NY 10452",BRONX,10452.0,"0K,01,02,03,04,05",0K,05,No,0.833,"$28,339.16 ",22%,0%,22%,78%,99%,1%,96%,9%,96%,,97%,,99%,,95%,,91%,,99%,,,,
MILTON FEIN SCHOOL,10X007,,,,,321000010007.0,10.0,40.881668,-73.905862,"3201 KINGSBRIDGE AVE BRONX, NY 10463",BRONX,10463.0,"0K,01,02,03,04,05",0K,05,No,0.746,"$41,223.11 ",20%,5%,6%,79%,85%,9%,96%,5%,97%,Exceeding Target,97%,Exceeding Target,98%,Exceeding Target,92%,Exceeding Target,88%,Meeting Target,99%,Exceeding Target,Meeting Target,2.63,2.97
P.S. 008 ISAAC VARIAN,10X008,,,,,321000010008.0,10.0,40.872553,-73.883365,"3010 BRIGGS AVE BRONX, NY 10458",BRONX,10458.0,"0K,01,02,03,04,05",0K,05,No,0.8,"$33,601.34 ",25%,5%,11%,77%,88%,7%,93%,29%,89%,Meeting Target,90%,Exceeding Target,93%,Meeting Target,80%,Meeting Target,79%,Approaching Target,92%,Meeting Target,Exceeding Target,2.43,2.64
P.S. 9 RYER AVENUE ELEMENTARY SCHOOL,10X009,,,,,321000010009.0,10.0,40.856803,-73.898907,"230 E 183RD ST BRONX, NY 10458",BRONX,10458.0,"PK,0K,01,02,03,04,05",PK,05,No,0.9229999999999999,"$26,516.80 ",27%,1%,16%,80%,96%,1%,90%,40%,91%,Meeting Target,87%,Meeting Target,88%,Approaching Target,71%,Approaching Target,83%,Approaching Target,88%,Meeting Target,Meeting Target,2.16,2.39
P.S. 023 THE NEW CHILDREN'S SCHOOL,10X023,,,,,321000010023.0,10.0,40.853359999999995,-73.894798,"2151 WASHINGTON AVE BRONX, NY 10457",BRONX,10457.0,"PK,0K,01,02",PK,02,No,0.905,"$24,966.63 ",13%,0%,37%,62%,99%,1%,91%,34%,79%,Approaching Target,89%,Meeting Target,82%,Approaching Target,78%,Meeting Target,81%,Approaching Target,91%,Meeting Target,Meeting Target,2.13,2.14
P.S. 024 SPUYTEN DUYVIL,10X024,,,,,321000010024.0,10.0,40.887662,-73.91356999999999,"660 W 236TH ST BRONX, NY 10463",BRONX,10463.0,"0K,01,02,03,04,05",0K,05,No,0.22699999999999998,"$81,320.51 ",3%,9%,6%,42%,48%,39%,94%,13%,82%,Approaching Target,71%,Approaching Target,86%,Approaching Target,57%,Not Meeting Target,85%,Approaching Target,77%,Not Meeting Target,Meeting Target,2.87,3.09
P.S. 032 BELMONT,10X032,,,,,321000010032.0,10.0,40.852095,-73.885739,"690 E 183RD ST BRONX, NY 10458",BRONX,10458.0,"0K,01,02,03,04,05",0K,05,No,0.925,"$22,737.12 ",13%,1%,25%,71%,96%,3%,93%,28%,97%,Exceeding Target,96%,Exceeding Target,96%,Exceeding Target,89%,Exceeding Target,84%,Meeting Target,97%,Exceeding Target,Meeting Target,2.31,2.42
P.S. 033 TIMOTHY DWIGHT,10X033,,,,,321000010033.0,10.0,40.861675,-73.90163299999999,"2424 JEROME AVE BRONX, NY 10468",BRONX,10468.0,"PK,0K,01,02,03,04,05",PK,05,No,0.91,"$27,633.11 ",26%,2%,10%,84%,94%,2%,92%,31%,88%,Meeting Target,89%,Meeting Target,91%,Meeting Target,78%,Meeting Target,91%,Exceeding Target,92%,Meeting Target,Meeting Target,2.15,2.33
P.S. 046 EDGAR ALLAN POE,10X046,,,,,321000010046.0,10.0,40.858431,-73.887039,"2502 LORILLARD PL BRONX, NY 10458",BRONX,10458.0,"0K,01,02,03,04,05",0K,05,No,0.9059999999999999,"$26,555.51 ",40%,3%,15%,80%,95%,2%,92%,29%,90%,Meeting Target,87%,Meeting Target,89%,Meeting Target,76%,Approaching Target,81%,Approaching Target,92%,Meeting Target,Meeting Target,2.08,2.24
P.S. 051 BRONX NEW SCHOOL,10X051,,,,,321000010051.0,10.0,40.850632,-73.88653000000001,"695 E 182ND ST BRONX, NY 10457",BRONX,10457.0,"0K,01,02,03,04,05",0K,05,No,0.7140000000000001,"$32,539.98 ",4%,3%,37%,59%,96%,2%,94%,21%,99%,Exceeding Target,90%,Meeting Target,98%,Meeting Target,84%,Meeting Target,83%,Meeting Target,96%,Exceeding Target,Approaching Target,2.49,2.54
P.S./I.S. 54,10X054,,,,,321000010054.0,10.0,40.864937,-73.887793,"2703 WEBSTER AVE BRONX, NY 10458",BRONX,10458.0,"PK,0K,01,02,03,04,05",PK,05,No,0.8959999999999999,"$24,568.96 ",26%,2%,27%,70%,97%,1%,92%,25%,91%,Meeting Target,87%,Meeting Target,88%,Meeting Target,79%,Meeting Target,84%,Meeting Target,90%,Meeting Target,Meeting Target,2.27,2.2
P.S. 056 NORWOOD HEIGHTS,10X056,,,,,321000010056.0,10.0,40.872439,-73.875912,"3177 WEBSTER AVE BRONX, NY 10467",BRONX,10467.0,"0K,01,02,03,04,05",0K,05,No,0.821,"$36,131.36 ",14%,22%,8%,63%,71%,6%,93%,25%,97%,Exceeding Target,93%,Exceeding Target,93%,Meeting Target,88%,Exceeding Target,82%,Approaching Target,95%,Exceeding Target,Exceeding Target,2.7,3.01
P.S. 059 THE COMMUNITY SCHOOL OF TECHNOLOGY,10X059,,,,,321000010059.0,10.0,40.85306,-73.89342099999999,"2185 BATHGATE AVE BRONX, NY 10457",BRONX,10457.0,"PK,0K,01,02,03,04,05",PK,05,No,0.934,"$22,046.20 ",15%,1%,27%,68%,96%,1%,91%,38%,94%,Meeting Target,94%,Meeting Target,92%,Meeting Target,89%,Exceeding Target,92%,Exceeding Target,96%,Exceeding Target,Meeting Target,2.13,2.3
P.S. 081 ROBERT J. CHRISTEN,10X081,,,,,321000010081.0,10.0,40.903455,-73.904682,"5550 RIVERDALE AVE BRONX, NY 10471",BRONX,10471.0,"0K,01,02,03,04,05",0K,05,No,0.35700000000000004,"$71,366.79 ",8%,8%,10%,49%,59%,30%,94%,17%,93%,Exceeding Target,92%,Exceeding Target,99%,Exceeding Target,83%,Meeting Target,90%,Exceeding Target,96%,Exceeding Target,Meeting Target,2.81,3.08
P.S. 085 GREAT EXPECTATIONS,10X085,,,,,321000010085.0,10.0,40.858852,-73.894829,"2400 MARION AVE BRONX, NY 10458",BRONX,10458.0,"0K,01,02,03,04,05",0K,05,Yes,0.925,"$23,548.89 ",22%,1%,29%,69%,98%,0%,91%,35%,84%,Approaching Target,82%,Meeting Target,82%,Approaching Target,70%,Approaching Target,81%,Approaching Target,85%,Approaching Target,Approaching Target,2.02,2.05
P.S. 086 KINGSBRIDGE HEIGHTS,10X086,,,,,321000010086.0,10.0,40.869847,-73.898263,"2756 RESERVOIR AVE BRONX, NY 10468",BRONX,10468.0,"PK,0K,01,02,03,04,05,06",PK,06,No,0.878,"$33,865.07 ",30%,4%,8%,86%,94%,1%,94%,20%,95%,Meeting Target,95%,Exceeding Target,93%,Exceeding Target,88%,Exceeding Target,83%,Meeting Target,96%,Exceeding Target,Exceeding Target,2.47,2.8
P.S. 091 BRONX,10X091,,,,,321000010091.0,10.0,40.858715999999994,-73.90740799999999,"2220 AQUEDUCT AVE BRONX, NY 10453",BRONX,10453.0,"0K,01,02,03,04,05",0K,05,No,0.903,"$29,919.76 ",38%,3%,18%,76%,94%,2%,91%,36%,82%,Approaching Target,76%,Approaching Target,80%,Approaching Target,66%,Not Meeting Target,78%,Approaching Target,75%,Not Meeting Target,Exceeding Target,2.33,2.52
P.S. 094 KINGS COLLEGE SCHOOL,10X094,,,,,321000010094.0,10.0,40.88051,-73.87526700000001,"3530 KINGS COLLEGE PL BRONX, NY 10467",BRONX,10467.0,"0K,01,02,03,04,05",0K,05,No,0.862,"$33,404.63 ",26%,11%,16%,68%,84%,3%,91%,34%,86%,Approaching Target,86%,Approaching Target,88%,Approaching Target,74%,Approaching Target,82%,Approaching Target,93%,Meeting Target,Approaching Target,2.17,2.22
P.S. 159 LUIS MUNOZ MARIN BILING,10X159,,,,,321000010159.0,10.0,40.855521,-73.893276,"2315 WASHINGTON AVE BRONX, NY 10457",BRONX,10457.0,"0K,01,02,03,04,05",0K,05,No,0.907,"$23,307.95 ",30%,0%,8%,90%,98%,1%,93%,26%,99%,Meeting Target,99%,Meeting Target,96%,Meeting Target,93%,Exceeding Target,93%,Exceeding Target,100%,Exceeding Target,Meeting Target,2.33,2.43
P.S. 205 FIORELLO LAGUARDIA,10X205,,,,,321000010205.0,10.0,40.855742,-73.881407,"2475 SOUTHERN BLVD BRONX, NY 10458",BRONX,10458.0,"0K,01,02,03,04,05",0K,05,No,0.887,"$23,907.92 ",20%,1%,15%,79%,94%,5%,93%,26%,88%,Meeting Target,91%,Meeting Target,93%,Meeting Target,80%,Meeting Target,83%,Approaching Target,94%,Exceeding Target,Meeting Target,2.4,2.51
P.S. 226,10X226,,,,,321000010226.0,10.0,40.855568,-73.91622,"1950 SEDGWICK AVE BRONX, NY 10453",BRONX,10453.0,"PK,0K,01,02,03,04",PK,04,No,0.903,"$30,205.50 ",22%,1%,23%,76%,98%,0%,93%,23%,82%,Approaching Target,80%,Approaching Target,86%,Meeting Target,70%,Approaching Target,81%,Approaching Target,85%,Approaching Target,Meeting Target,2.22,2.34
P.S. 246 POE CENTER,10X246,,,,,321000010246.0,10.0,40.865975,-73.895314,"2641 GRAND CONCOURSE BRONX, NY 10468",BRONX,10468.0,"0K,01,02,03,04,05,06",0K,06,No,0.88,"$34,941.39 ",27%,2%,10%,85%,95%,2%,92%,30%,81%,Approaching Target,82%,Approaching Target,86%,Approaching Target,67%,Approaching Target,84%,Meeting Target,91%,Meeting Target,Meeting Target,2.13,2.3
P.S. 291,10X291,,,,,321000010291.0,10.0,40.859165000000004,-73.909733,"2195 ANDREWS AVE BRONX, NY 10453",BRONX,10453.0,"0K,01,02,03,04",0K,04,No,0.9229999999999999,"$24,753.36 ",24%,0%,11%,88%,99%,0%,91%,30%,97%,Meeting Target,96%,Meeting Target,97%,Exceeding Target,93%,Exceeding Target,86%,Meeting Target,98%,Exceeding Target,Exceeding Target,2.4,2.67
P.S. 306,10X306,,,,,321000010306.0,10.0,40.851349,-73.910712,"40 W TREMONT AVE BRONX, NY 10453",BRONX,10453.0,"0K,01,02,03,04,05",0K,05,No,0.91,"$23,044.61 ",17%,1%,28%,70%,98%,1%,92%,27%,86%,Approaching Target,76%,Approaching Target,88%,Meeting Target,69%,Approaching Target,84%,Approaching Target,85%,Meeting Target,Meeting Target,2.19,2.3
LUISA PINEIRO FUENTES SCHOOL OF SCIENCE AND DISCOVERY,10X307,,,,,321000010307.0,10.0,40.869145,-73.901836,"124 EAMES PL BRONX, NY 10468",BRONX,10468.0,"PK,0K,01,02,03,04,05",PK,05,No,0.836,"$35,736.86 ",25%,8%,8%,82%,91%,1%,95%,16%,91%,Meeting Target,93%,Meeting Target,90%,Meeting Target,85%,Meeting Target,84%,Approaching Target,96%,Exceeding Target,Approaching Target,2.27,2.43
P.S. 310 MARBLE HILL,10X310,,,,,321000010310.0,10.0,40.872481,-73.905299,"260 W KINGSBRIDGE RD BRONX, NY 10463",BRONX,10463.0,"PK,0K,01,02,03,04,05",PK,05,No,0.8740000000000001,"$36,529.19 ",15%,1%,9%,85%,95%,3%,93%,21%,93%,Meeting Target,84%,Exceeding Target,92%,Meeting Target,74%,Approaching Target,82%,Approaching Target,86%,Approaching Target,Meeting Target,2.23,2.56
P.S. 340,10X340,,,,,321000010340.0,10.0,40.869429,-73.897161,"25 W 195TH ST BRONX, NY 10468",BRONX,10468.0,"0K,01,02,03,04,05",0K,05,No,0.909,"$33,837.87 ",23%,3%,9%,85%,94%,2%,92%,30%,90%,Meeting Target,95%,Exceeding Target,93%,Meeting Target,86%,Meeting Target,83%,Approaching Target,97%,Exceeding Target,Meeting Target,2.29,2.52
AMPARK NEIGHBORHOOD,10X344,,,,,321000010344.0,10.0,40.883022,-73.891672,"3961 HILLMAN AVE BRONX, NY 10463",BRONX,10463.0,"0K,01,02,03,04,05",0K,05,No,0.42100000000000004,"$54,446.90 ",3%,5%,13%,60%,73%,20%,94%,11%,95%,Meeting Target,95%,Meeting Target,94%,Meeting Target,91%,Exceeding Target,91%,Exceeding Target,96%,Exceeding Target,Approaching Target,2.74,2.95
P.S. 360,10X360,,,,,321000010360.0,10.0,40.874718,-73.902209,"2880 KINGSBRIDGE TER BRONX, NY 10463",BRONX,10463.0,"0K,01,02,03,04,05",0K,05,No,0.794,"$39,138.83 ",14%,2%,11%,84%,95%,3%,91%,31%,88%,Approaching Target,82%,Meeting Target,90%,Meeting Target,67%,Not Meeting Target,79%,Approaching Target,86%,Approaching Target,Approaching Target,2.22,2.13
"ELEMENTARY SCHOOL FOR MATH, SCIENCE, AND TECHNOLOGY",10X382,,,,,321000010382.0,10.0,40.855211,-73.90326400000001,"125 E 181ST ST BRONX, NY 10453",BRONX,10453.0,"PK,0K,01,02,03,04,05",PK,05,No,0.9179999999999999,"$23,846.20 ",30%,0%,24%,75%,99%,0%,94%,20%,91%,Meeting Target,89%,Meeting Target,90%,Meeting Target,85%,Meeting Target,78%,Not Meeting Target,93%,Meeting Target,Approaching Target,2.23,2.3
SCHOOL FOR ENVIRONMENTAL CITIZENSHIP,10X386,,,,,321000010386.0,10.0,40.855211,-73.90326400000001,"125 E 181ST ST BRONX, NY 10453",BRONX,10453.0,"PK,0K,01,02,03,04,05",PK,05,No,0.9309999999999999,"$23,981.38 ",29%,1%,15%,83%,98%,1%,93%,23%,83%,Approaching Target,83%,Meeting Target,89%,Meeting Target,72%,Approaching Target,83%,Approaching Target,86%,Approaching Target,Approaching Target,2.23,2.25
